name,type,color_ebc,yield_percentage,protein
Crystal Wheat Malt,GRAIN,78.8,75.0,10
Pure California Malt,GRAIN,3.9,75.0,11.5
Pure Idaho Malt,GRAIN,3.2,75.0,10.7
Pure Oregon Malt,GRAIN,3.9,75.0,11.5
Pure Washington Malt,GRAIN,3.9,75.0,11.5
Brūmalt,GRAIN,39.4,75.0,12
Caramel Steam Malt,GRAIN,78.8,75.0,12
Mela Malt,GRAIN,59.1,75.0,12
Munich Malt,GRAIN,19.7,75.0,12
Vienna Malt,GRAIN,7.9,75.0,11.5
Dark Munich,GRAIN,39.4,75.0,12
Light Munich Malt,GRAIN,11.8,75.0,11.5
Biscuit Rye Malt,GRAIN,33.5,75.0,10
Organic Crystal 15 Malt,GRAIN,29.6,75.0,11.5
Organic Crystal 40 Malt,GRAIN,78.8,75.0,11.5
Organic Crystal 60 Malt,GRAIN,118.2,75.0,11.5
Organic Crystal 120 Malt,GRAIN,236.4,75.0,11.5
Organic Munich Malt,GRAIN,19.7,75.0,12
Organic Premium Two Row,GRAIN,3.9,75.0,11.5
Organic White Wheat Malt,GRAIN,5.9,75.0,10
Organic Superior Pilsen,GRAIN,3.2,75.0,10.7
Pilsner Malt,GRAIN,4,75.0,11.5
Traditional Ale Malt,GRAIN,7,75.0,11.5
Vienna Malt,GRAIN,10,75.0,11.5
Light Munich Malt,GRAIN,15,75.0,11.5
Dark Munich Malt,GRAIN,20,75.0,11.5
Wheat Malt,GRAIN,5,75.0,13
Distillers Malt,GRAIN,5,75.0,11.5
Caramalt,GRAIN,70,75.0,0.0
Light Crystal Malt,GRAIN,140,75.0,0.0
Medium Crystal Malt,GRAIN,160,75.0,0.0
Dark Crystal Malt,GRAIN,300,75.0,0.0
Extra Dark Crystal Malt,GRAIN,450,75.0,0.0
Crystal Wheat Malt,GRAIN,150,75.0,0.0
Amber Malt,GRAIN,70,75.0,0.0
Chocolate Malt,GRAIN,800,75.0,0.0
Light Roasted Malt,GRAIN,1000,75.0,0.0
Dark Roasted Malt,GRAIN,1400,75.0,0.0
Black Malt,GRAIN,1600,75.0,0.0
Roasted Wheat Malt,GRAIN,1600,75.0,0.0
Rosted Barley,GRAIN,1600,75.0,0.0
Gateway (Under-modified Wind-Malt),GRAIN,2.6,75.0,11.5
Pelton (Pilsner Style),GRAIN,3.7,75.0,11
Lamonta (American Pale),GRAIN,6.5,75.0,11
Vanora (Vienna Style),GRAIN,14.4,75.0,11
Metolius (Munich Style),GRAIN,24.2,75.0,11
Opal 22 (Graham & Cocoa),GRAIN,49.3,75.0,11
Opal 44 (Toasted Toffee),GRAIN,98.5,75.0,11
Shaniko (White Winter Wheat),GRAIN,8.5,75.0,12
Rimrock (Vienna-style Spring Rye),GRAIN,12,75.0,12.5
Wickiup (Hard Red Spring Wheat),GRAIN,6.9,75.0,16.2
Super Pale Ale Malt,GRAIN,2,75.0,0.0
Pilsner Malt,GRAIN,3.7,75.0,0.0
Lager Malt,GRAIN,4,75.0,0.0
Planet - Pale Ale Malt,GRAIN,6,75.0,0.0
Planet – Extra Pale Ale Malt,GRAIN,4,75.0,0.0
Craft - Pale Ale Malt,GRAIN,6,75.0,0.0
Maris Otter® - Pale Ale Malt,GRAIN,6,75.0,0.0
Maris Otter® - Extra Pale Ale Malt,GRAIN,4,75.0,0.0
Maris Otter® - Pale Blend Malt,GRAIN,6,75.0,0.0
Organic Ale Malt,GRAIN,10,75.0,0.0
Mild Malt,GRAIN,7,75.0,0.0
Dextrin Malt,GRAIN,7,75.0,0.0
Munich Malt,GRAIN,20,75.0,0.0
Vienna Malt,GRAIN,12,75.0,0.0
Cara Malts 10,GRAIN,12,75.0,0.0
Cara Malts 30,GRAIN,43,75.0,0.0
Crystal Malts 110,GRAIN,110,75.0,0.0
Crystal Malts 150,GRAIN,150,75.0,0.0
Crystal Malts 240,GRAIN,240,75.0,0.0
Crystal Malts 400,GRAIN,400,75.0,0.0
Amber Malt,GRAIN,75,75.0,0.0
Brown Malt,GRAIN,170,75.0,0.0
Light Chocolate Malt,GRAIN,440,75.0,0.0
Chocolate Malt,GRAIN,1200,75.0,0.0
Black Malt,GRAIN,1400,75.0,0.0
Roasted Barley,GRAIN,1500,75.0,0.0
Wheat Malt ,GRAIN,5,75.0,0.0
Melanoidin Wheat Malt,GRAIN,120,75.0,0.0
Rye Malt,GRAIN,7,75.0,0.0
Oat Malt,GRAIN,10,75.0,0.0
Torrefied Wheat,GRAIN,6,75.0,0.0
Dark Crystal Rye Malt,GRAIN,230,75.0,0.0
Pilsen Malt,GRAIN,5,75.0,0.0
Extra Pale Malt,GRAIN,0.0,75.0,0.0
Caramel 15L / 40EBC,GRAIN,40,75.0,0.0
Caramel 25L / 75EBC ,GRAIN,75,75.0,0.0
Caramel 35L / 100EBC,GRAIN,100,75.0,0.0
Caramel 45L / 120EBC ,GRAIN,120,75.0,0.0
Caramel 55L / 150EBC ,GRAIN,150,75.0,0.0
Caramel 70L / 190EBC,GRAIN,190,75.0,0.0
Caramel 90L / 240EBC,GRAIN,240,75.0,0.0
Caramel 110L / 290EBC ,GRAIN,290,75.0,0.0
Especial 140L / 370EBC,GRAIN,370,75.0,0.0
Caramel 170L / 430EBC,GRAIN,430,75.0,0.0
Caramel 190L / 500EBC ,GRAIN,500,75.0,0.0
Black Pearl 340L / 900EBC,GRAIN,900,75.0,0.0
Brown 115L / 300EBC,GRAIN,300,75.0,0.0
Coffee 230L / 600EBC,GRAIN,600,75.0,0.0
Chocolate 350L / 900EBC,GRAIN,900,75.0,0.0
Patagonia Pale Ale,GRAIN,7.5,75.0,0.0
Patagonia Munich,GRAIN,35,75.0,0.0
Patagonia Wheat Malt,GRAIN,5,75.0,0.0
Patagonia Vienna,GRAIN,7.5,75.0,0.0
Rahr High DP Distillers Malt,GRAIN,5.9,75.0,0.0
Rahr North Star Pils™,GRAIN,3.7,75.0,12
Rahr Old World Pilsner,GRAIN,3.9,75.0,11.5
Rahr Pale Ale,GRAIN,7.9,75.0,12
Rahr Premium Pilsner,GRAIN,3.9,75.0,11
Rahr Red Wheat,GRAIN,6.9,75.0,12
Rahr Standard 2-Row,GRAIN,3.9,75.0,11.5
Rahr Standard 6-Row,GRAIN,4.9,75.0,12
Rahr Unmalted Wheat,GRAIN,7.9,75.0,11.5
Rahr White Wheat,GRAIN,6.9,75.0,12
Rahr Kilned Caramel 30,GRAIN,69,75.0,13.5
Rahr Kilned Caramel 47,GRAIN,98.5,75.0,13.5
Rahr Kilned Caramel 80,GRAIN,177.3,75.0,13.5
Pilsner malt,GRAIN,3.8,75.0,11.5
Light wheat malt,GRAIN,5,75.0,13
Munich malt,GRAIN,27,75.0,12.5
Pilsen malt,GRAIN,4,75.0,10.9
Vienna malt,GRAIN,10,75.0,11.3
Munich malt,GRAIN,25,75.0,11.3
Wheat malt,GRAIN,5,75.0,13
Caramel malt light,GRAIN,120,75.0,0.0
Caramel malt dark,GRAIN,220,75.0,0.0
Caramel extra dark,GRAIN,460,75.0,0.0
Chocolate malt,GRAIN,1000,75.0,0.0
Coloured malt,GRAIN,1500,75.0,0.0
Finest Pale Ale Golden Promise®™,GRAIN,6.5,75.0,9.69
Finest Pale Ale Maris Otter,GRAIN,6.5,75.0,9.69
Low Colour Maris Otter,GRAIN,4.5,75.0,9.69
Best Pale Ale Malt,GRAIN,6.5,75.0,9.69
Extra Pale Ale Malt,GRAIN,4.5,75.0,10
Finest Lager Malt,GRAIN,4.5,75.0,11.25
Vienna Malt,GRAIN,12,75.0,0.0
Munich Malt,GRAIN,27,75.0,11.25
Imperial Malt,GRAIN,55,75.0,0.0
Aromatic Malt,GRAIN,70,75.0,0.0
Cornish Gold,GRAIN,27,75.0,11.25
Caramalt,GRAIN,42,75.0,0.0
Premium English Caramalt,GRAIN,66,75.0,0.0
Crystal Light,GRAIN,113,75.0,0.0
Crystal T50™,GRAIN,145,75.0,0.0
Crystal Medium,GRAIN,190,75.0,0.0
Crystal Dark,GRAIN,285,75.0,0.0
Crystal Extra Dark,GRAIN,500,75.0,0.0
Simpsons DRC®,GRAIN,320,75.0,0.0
Heritage Crystal Malt,GRAIN,190,75.0,0.0
Amber Malt,GRAIN,71,75.0,0.0
Brown Malt,GRAIN,600,75.0,0.0
Chocolate Malt,GRAIN,1300,75.0,0.0
Black Malt,GRAIN,1900,75.0,0.0
Roasted Barley,GRAIN,1900,75.0,0.0
Malted Oats,GRAIN,4,75.0,0.0
Wheat Malt,GRAIN,6,75.0,12.19
Golden Naked Oats®™,GRAIN,25,75.0,0.0
Red Rye Crystal,GRAIN,310,75.0,0.0
Malted Rye,GRAIN,6,75.0,0.0
Dextrin Malt,GRAIN,1.6,75.0,0.0
Flaked Barley,GRAIN,1.5,75.0,0.0
Flaked Wheat,GRAIN,1.5,75.0,0.0
Flaked Oats,GRAIN,3.5,75.0,0.0
Pilot Pilsner,GRAIN,3.5,75.0,10.2
Pilot Pale,GRAIN,4.1,75.0,10.1
Pilot Pale,GRAIN,13.5,75.0,11
Fritz Pilsner,GRAIN,3.9,75.0,9.9
Fritz Pale,GRAIN,3.8,75.0,10.1
Fritz Ale,GRAIN,4,75.0,9.6
Skagit Copeland Pilsner ,GRAIN,3.6,75.0,9.6
Skagit Copeland Pale,GRAIN,4.3,75.0,10
Skagit Copeland Ale,GRAIN,5.3,75.0,9.5
Skagit White Club Wheat,GRAIN,5.4,75.0,12
Talisman Pilsner,GRAIN,3.1,75.0,10.2
Talisman True British Ale,GRAIN,3.8,75.0,10.4
Obsidian Malt,GRAIN,5.6,75.0,0.0
Francin Bohemian Pilsner,GRAIN,3.7,75.0,11.2
Buckwheat,GRAIN,7.5,75.0,0.0
Vienna,GRAIN,6.8,75.0,9.6
Munich,GRAIN,13.2,75.0,9.8
Super Vienna,GRAIN,17,75.0,10.7
Caramel 15,GRAIN,33.3,75.0,0.0
Caramel 30,GRAIN,48.5,75.0,0.0
Millet,GRAIN,4.3,75.0,0.0
Pilsner malt,GRAIN,5,75.0,0.0
Viennese malt,GRAIN,12,75.0,0.0
Munich malt,GRAIN,26,75.0,0.0
Wheat malt light,GRAIN,5,75.0,0.0
Wheat,GRAIN,22,75.0,0.0
Dutch Pale Ale,GRAIN,9,75.0,11.5
Swaen©Amber,GRAIN,60,75.0,0.0
Swaen©Melany,GRAIN,80,75.0,0.0
Swaen©Vienna,GRAIN,12,75.0,11.5
Swaen©Pilsner,GRAIN,4.5,75.0,11.5
Swaen©Munich Dark,GRAIN,25,75.0,11.6
Swaen©Munich Light,GRAIN,15,75.0,11.7
Swaen©Lager,GRAIN,4,75.0,11.5
Swaen©Ale,GRAIN,9,75.0,11.5
WhiteSwaen©Classic,GRAIN,5,75.0,13.8
GreenSwaen©Gold Classic,GRAIN,130,75.0,0.0
GreenSwaen©Gold Red ,GRAIN,60,75.0,0.0
GreenSwaen©Gold Hell,GRAIN,30,75.0,0.0
GreenSwaen©Black Extra,GRAIN,1400,75.0,0.0
GreenSwaen©White Classic,GRAIN,5,75.0,13.8
GreenSwaen©Vienna,GRAIN,12,75.0,11.5
GreenSwaen©Pilsner,GRAIN,4.5,75.0,11.5
GreenSwaen©Ale,GRAIN,9,75.0,11.5
GoldSwaen©Brown Light,GRAIN,190,75.0,0.0
GoldSwaen©Wheat Light,GRAIN,120,75.0,0.0
GoldSwaen©Wheat Dark,GRAIN,200,75.0,0.0
GoldSwaen©Brown Supreme,GRAIN,320,75.0,0.0
GoldSwaen©Classic,GRAIN,130,75.0,0.0
GoldSwaen©Red,GRAIN,60,75.0,0.0
GoldSwaen©Munich Dark,GRAIN,160,75.0,0.0
GoldSwaen©Munich Light,GRAIN,110,75.0,0.0
GoldSwaen©Light,GRAIN,20,75.0,0.0
GoldSwaen©Hell,GRAIN,30,75.0,0.0
GoldSwaen©Brown,GRAIN,240,75.0,0.0
GoldSwaen©Belge,GRAIN,40,75.0,0.0
GoldSwaen©Aroma,GRAIN,450,75.0,0.0
GoldSwaen©Amber,GRAIN,80,75.0,0.0
BlackSwaen©Coffee Light W,GRAIN,500,75.0,0.0
BlackSwaen©Black Extra,GRAIN,1400,75.0,0.0
BlackSwaen©Black W,GRAIN,1250,75.0,0.0
BlackSwaen©Honey Biscuit,GRAIN,90,75.0,0.0
BlackSwaen©Biscuit,GRAIN,90,75.0,0.0
BlackSwaen©Coffee,GRAIN,800,75.0,0.0
BlackSwaen©Chocolate W,GRAIN,1000,75.0,0.0
BlackSwaen©Chocolate B,GRAIN,1000,75.0,0.0
BlackSwaen©Black,GRAIN,1250,75.0,0.0
BlackSwaen©Barley,GRAIN,1250,75.0,0.0
PlatinumSwaen©Salty Caramel Malt,GRAIN,30,75.0,0.0
PlatinumSwaen©Smoke,GRAIN,6,75.0,0.0
PlatinumSwaen©Sauer,GRAIN,14,75.0,0.0
PlatinumSwaen©Rye,GRAIN,4,75.0,0.0
PlatinumSwaen©Oat,GRAIN,4.5,75.0,9
PlatinumSwaen©Spelt,GRAIN,10,75.0,16
Flaked Maize,GRAIN,0.0,75.0,0.0
Flaked Barley,GRAIN,0.0,75.0,0.0
Flaked Oat,GRAIN,0.0,75.0,0.0
Flaked Wheat,GRAIN,0.0,75.0,0.0
Maris Otter® Pale Ale Malt,GRAIN,7.5,75.0,10
Halcyon Pale Ale Malt,GRAIN,7.5,75.0,10.5
Golden PromiseTM Pale Ale Malt,GRAIN,7.5,75.0,10
Pearl Pale Ale Malt,GRAIN,7.5,75.0,10.5
Spring Barley Pale Ale Malt,GRAIN,7.5,75.0,10.5
Maris Otter® Low Colour Malt,GRAIN,5,75.0,10
Lager Malt,GRAIN,5,75.0,10.5
Mild Ale Malt,GRAIN,9,75.0,10.5
Vienna Malt,GRAIN,15,75.0,10.5
Munich Malt,GRAIN,30,75.0,10.5
Wheat Malt,GRAIN,5,75.0,11.9
Oat Malt,GRAIN,7.5,75.0,11.9
Rye Malt,GRAIN,10,75.0,10.9
Pale Caramalt,GRAIN,20,75.0,0.0
Caramalt,GRAIN,40,75.0,0.0
Pale Crystal Malt,GRAIN,90,75.0,0.0
Crystal Malt,GRAIN,175,75.0,0.0
Dark Crystal Malt,GRAIN,300,75.0,0.0
Red Crystal Malt,GRAIN,450,75.0,0.0
Crystal Wheat Malt,GRAIN,190,75.0,0.0
Crystal Rye Malt,GRAIN,250,75.0,0.0
Amber Malt,GRAIN,140,75.0,0.0
Brown Malt,GRAIN,200,75.0,0.0
Pale Chocolate Malt,GRAIN,690,75.0,0.0
Chocolate Malt,GRAIN,1250,75.0,0.0
Black Malt,GRAIN,1600,75.0,0.0
Roasted Barley,GRAIN,1600,75.0,0.0
Roasted Wheat,GRAIN,1100,75.0,0.0
Roasted Rye,GRAIN,850,75.0,0.0
Okefenokee Pale ,GRAIN,5.3,75.0,12
Badlands Sunset,GRAIN,3.7,75.0,11.9
Pronghorn – Brewski Pale,GRAIN,3.5,75.0,11.55
Dakota,GRAIN,10.4,75.0,11.7
Denhoff,GRAIN,22.5,75.0,11.3
Bakken,GRAIN,220.6,75.0,12.4
Astro White Wheat,GRAIN,4.6,75.0,15.9
Rye ,GRAIN,5.6,75.0,10.8
Viking Pilsner Zero Malt,GRAIN,4.3,75.0,11.5
Viking Wheat Malt,GRAIN,6.5,75.0,13
Viking Pale Ale Malt,GRAIN,7,75.0,11.5
Viking Pilsner Malt,GRAIN,4.3,75.0,11.5
Viking Vienna Malt,GRAIN,10,75.0,12
Viking Oat Malt,GRAIN,7,75.0,0.0
Viking CaraBody Malt,GRAIN,8,75.0,0.0
Viking Red Active Malt,GRAIN,40,75.0,12.5
Viking Dextrin Malt,GRAIN,16,75.0,10
Viking Golden Ale Malt,GRAIN,14,75.0,12
Viking Rye Malt,GRAIN,10,75.0,0.0
Viking Roasted Barley,GRAIN,1200,75.0,0.0
Viking Chocolate Light Malt,GRAIN,450,75.0,0.0
Viking Pearled Black Malt,GRAIN,1000,75.0,0.0
Viking Caramel 30,GRAIN,30,75.0,0.0
Viking Caramel 50,GRAIN,50,75.0,0.0
Viking Caramel 100,GRAIN,100,75.0,0.0
Viking Caramel 150,GRAIN,150,75.0,0.0
Viking Caramel 200,GRAIN,200,75.0,0.0
Viking Caramel 300,GRAIN,300,75.0,0.0
Viking Caramel 400,GRAIN,400,75.0,0.0
Viking Caramel 600,GRAIN,600,75.0,0.0
Viking Cookie Malt,GRAIN,60,75.0,0.0
Viking Caramel Pale,GRAIN,8,75.0,0.0
Viking Black Malt,GRAIN,1500,75.0,0.0
Viking Red Ale Malt,GRAIN,70,75.0,0.0
Viking Munich Light,GRAIN,18,75.0,12
Viking Munich Dark,GRAIN,24,75.0,12
Viking Chocolate Dark Malt,GRAIN,1000,75.0,0.0
Viking Wheat Malt Organic,GRAIN,6.5,75.0,13.5
Viking Pilsner Malt Organic,GRAIN,5,75.0,12.5
Viking Pale Ale Malt Organic,GRAIN,7,75.0,12.5
Viking Munich Light Organic,GRAIN,20,75.0,12.5
Viking Caramel Malt 100 Organic,GRAIN,100,75.0,0.0
Viking Black Malt Organic,GRAIN,1500,75.0,0.0
Viking Smoked Wheat Malt,GRAIN,10,75.0,13.5
Viking Smoked Malt,GRAIN,10,75.0,12
Viking Lightly Peated Malt,GRAIN,10,75.0,12
Maris Otter Sd Colour,GRAIN,7,75.0,0.0
Maris Otter Low Colour,GRAIN,3.6,75.0,0.0
Pale Ale Std Colour ,GRAIN,7,75.0,0.0
Pale Ale Low Colour,GRAIN,3.6,75.0,0.0
Lager,GRAIN,3.6,75.0,0.0
Wheat Malt,GRAIN,5,75.0,0.0
Rye Malt,GRAIN,7,75.0,0.0
Mild Ale,GRAIN,14,75.0,0.0
Munich,GRAIN,20,75.0,0.0
Vienna,GRAIN,14,75.0,0.0
Flaked Torrefied Barley,GRAIN,4.5,75.0,0.0
Flaked Maize,GRAIN,1.3,75.0,0.0
Flaked Malted Oats ,GRAIN,5.5,75.0,0.0
Torrefied Wheat,GRAIN,4.5,75.0,0.0
CaraGold,GRAIN,17,75.0,0.0
CaraMalt,GRAIN,42,75.0,0.0
Crystal 100 ,GRAIN,130,75.0,0.0
Crystal 150,GRAIN,190,75.0,0.0
Crystal 200,GRAIN,265,75.0,0.0
Crystal 400,GRAIN,525,75.0,0.0
Crystal Rye,GRAIN,220,75.0,0.0
Crystal Wheat,GRAIN,180,75.0,0.0
Amber,GRAIN,85,75.0,0.0
Brown,GRAIN,145,75.0,0.0
Low Colour Chocolate,GRAIN,655,75.0,0.0
Chocolate,GRAIN,1310,75.0,0.0
Black,GRAIN,1800,75.0,0.0
Roasted Barley,GRAIN,1800,75.0,0.0
Maris Otter Std Colour*,GRAIN,7,75.0,0.0
Maris Otter Low Colour*,GRAIN,3.6,75.0,0.0
Plumage Archer Std Colour*,GRAIN,7,75.0,0.0
Pale Ale Std Colour,GRAIN,7,75.0,0.0
Pale Ale Low Colour,GRAIN,3.6,75.0,0.0
Lager,GRAIN,3.6,75.0,0.0
Wheat Malt,GRAIN,5,75.0,0.0
Rye Malt,GRAIN,7,75.0,0.0
CaraMalt,GRAIN,50,75.0,0.0
Crystal 150,GRAIN,210,75.0,0.0
Crystal 400,GRAIN,570,75.0,0.0
Munich,GRAIN,20,75.0,0.0
Low Colour Chocolate*,GRAIN,715,75.0,0.0
Chocolate,GRAIN,1450,75.0,0.0
Roasted Barley,GRAIN,1910,75.0,0.0
Weyermann® Extra Pale Premium Pilsner Malt,GRAIN,3.5,75.0,0.0
Weyermann® Pilsner Malt,GRAIN,4.5,75.0,0.0
Weyermann® Pale Ale Malt,GRAIN,7.5,75.0,0.0
Weyermann® Vienna Malt,GRAIN,9,75.0,0.0
Weyermann® Munich Malt,GRAIN,25,75.0,0.0
Weyermann® Beech Smoked Barley Malt,GRAIN,8,75.0,0.0
Weyermann® Oak Smoked Wheat Malt,GRAIN,6,75.0,0.0
Weyermann® Acidulated Malt,GRAIN,12,75.0,0.0
Weyermann® Melanoidin Malt,GRAIN,80,75.0,0.0
Weyermann® Pale Wheat Malt,GRAIN,5,75.0,0.0
Weyermann® Dark Wheat Malt,GRAIN,20,75.0,0.0
Weyermann® CARAWHEAT® Caramel Wheat Malt,GRAIN,140,75.0,0.0
Weyermann® Chocolate Wheat Malt,GRAIN,1200,75.0,0.0
Weyermann® CARAPILS®,GRAIN,6.5,75.0,0.0
Weyermann® CARAHELL®,GRAIN,30,75.0,0.0
Weyermann® CARARED®,GRAIN,60,75.0,0.0
Weyermann® CARAAMBER®,GRAIN,80,75.0,0.0
Weyermann® CARAMUNICH® I,GRAIN,100,75.0,0.0
Weyermann® CARAMUNICH® II,GRAIN,130,75.0,0.0
Weyermann® CARAMUNICH® III,GRAIN,160,75.0,0.0
Weyermann® CARAAROMA®,GRAIN,450,75.0,0.0
Weyermann® CARABELGE ®,GRAIN,35,75.0,0.0
Weyermann® CARABOHEMIAN®,GRAIN,220,75.0,0.0
Weyermann® CARAWHEAT®,GRAIN,140,75.0,0.0
Weyermann® CARARYE®,GRAIN,200,75.0,0.0
Weyermann® Barke® Pilsner Malt,GRAIN,4.5,75.0,0.0
Weyermann® Barke® Vienna Malt,GRAIN,9,75.0,0.0
Weyermann® Barke® Munich Malt,GRAIN,22,75.0,0.0
Weyermann® Eraclea Pilsner Malt,GRAIN,4.5,75.0,0.0
Weyermann® Bohemian Pilsner Malt,GRAIN,5,75.0,0.0
Weyermann® Floor-Malted Bohemian Pilsner Malt,GRAIN,5,75.0,0.0
Weyermann® Floor-Malted Bohemian Dark Malt,GRAIN,20,75.0,0.0
Weyermann® Floor-Malted Bohemian Wheat Malt,GRAIN,5.5,75.0,0.0
Weyermann® CARABOHEMIAN®,GRAIN,220,75.0,0.0
Weyermann® CARABELGE ®,GRAIN,35,75.0,0.0
Weyermann® Abbey Malt ®,GRAIN,50,75.0,0.0
Weyermann® Special W®,GRAIN,320,75.0,0.0
Weyermann® CARAFA® I,GRAIN,1000,75.0,0.0
Weyermann® CARAFA® II,GRAIN,1200,75.0,0.0
Weyermann® CARAFA® III,GRAIN,1500,75.0,0.0
Weyermann® CARAFA® SPECIAL I,GRAIN,1000,75.0,0.0
Weyermann® CARAFA® SPECIAL II,GRAIN,1200,75.0,0.0
Weyermann® CARAFA® SPECIAL III,GRAIN,1500,75.0,0.0
Weyermann® Chocolate Wheat Malt,GRAIN,1200,75.0,0.0
Weyermann® Chocolate Rye Malt,GRAIN,800,75.0,0.0
Weyermann® Chocolate Spelt Malt,GRAIN,1000,75.0,0.0
Weyermann® Roasted Barley,GRAIN,1300,75.0,0.0
Weyermann® Diastatic Barley Malt,GRAIN,4,75.0,0.0
Weyermann® Diastatic Wheat Malt,GRAIN,5,75.0,0.0
Weyermann® Pale Rye Malt,GRAIN,10,75.0,0.0
Weyermann® CARARYE® Caramel Rye Malt,GRAIN,200,75.0,0.0
Weyermann® Chocolate Rye Malt,GRAIN,800,75.0,0.0
Weyermann® Spelt Malt,GRAIN,7,75.0,0.0
Weyermann® Chocolate Spelt Malt,GRAIN,1000,75.0,0.0
Colorado Select,GRAIN,4.9,75.0,11.5
Montana Select,GRAIN,4.5,75.0,12.5
Wisconsin Select,GRAIN,5.5,75.0,11.5
2-Row,GRAIN,4.7,75.0,12.2
Munich,GRAIN,23.6,75.0,12
Pale Ale Malt,GRAIN,6.7,75.0,11.5
Pilsen Malt ,GRAIN,3.9,75.0,12
Vienna Malt,GRAIN,7.1,75.0,12
Wheat Malt,GRAIN,7.5,75.0,12.5
Dextrin Malt,GRAIN,3.9,75.0,13
Kilned C60 Malt,GRAIN,128.1,75.0,0.0
Steamed C3.5,GRAIN,9.5,75.0,13
Steamed C40,GRAIN,88.7,75.0,12
Bavarian Pilsen,GRAIN,4.3,75.0,11.5
French Pilsen,GRAIN,4.3,75.0,11.5
