name,alpha_acid,origin,beta_acid,notes,substitutes,total_oil,myrcene,humulene,cohumulone,caryophyllene,farnesene
Outeniqua,12.75,South Africa,4.6,,Southern Star,1.6,40.5,30.5,27.5,9.5,0.5
Pilot,9.75,UK,4.15,,,1.1,35,0.0,32.5,0.0,1
Lubelska-Pulawy,6,Poland,4,Pleasant European characteristics,"Brewer’s Gold, Nugget, Glacier",0.44,52,14,24,5,12
Pacifica,5.5,New Zealand,6,"Citrusy, spicy, orange and floral aromas",Liberty,0.5,12.5,50.9,25,16.7,0.2
Sun,14,US,5.75,Pronounced herbaceous aroma and flavor,"Magnum, Galena, Zeus",0.0,62.5,12.5,35,7.5,1
Zlatan,5.2,Czechia,4.3,"Mild bitterness, pleasant noble aroma",,0.0,0.0,0.0,21,0.0,0.0
Bramling Cross,6.4,UK,2.75,"Chrysanthemum, Bitter grapefruit, Caramel, Gooseberry, Vanilla","Whitbread Golding, Progress, East Kent Golding",0.95,37.5,30.5,34,16,0.5
Neo1,8,US,3.15,Significant lemon-citrus character,,0.0,0.0,0.0,0.0,0.0,0.0
Amethyst,4,Czech Republic,7.5,"Notably earthy, citrusy and spicy",,0.2,42,19,24,6,0.0
Aquila,7.800000000000001,US,4.5,,"Cluster, Galena",0.725,62,2,46,5,2.2
Liberty,4.5,US,3.5,Noble hop characteristics,"Hallertau, Mount Hood, Tradition",0.65,46,31,26,10.5,1
Petham Golding,6.9,UK,2,,,0.575,57,16,28,9,0.0
Serebrianka,3.5,Russia,3,"Continental aroma and taste with hints of black tea, herbs and tobacco",,0.2,30,27,23,8,12
Tolhurst,2.2,UK,2.9,Subdued but pleasant continental-style aroma,,0.325,42.5,19.4,31,7.7,8.3
Millennium,15.5,Unknown,4.8,"Strawberry, Elderflower, Chocolate, Toffee, Pear","Columbus, Nugget, Summit™, CTZ",2,35,25,30,10.5,1
Super Pride,14.25,Australia,6.65,"Spicy, Chocolate, Curry, Gingerbread, Marjoram",Pride of Ringwood,2.35,26.5,1.5,27.4,6.5,0.5
Precoce de Bourgogne,3.4,France,3.1,,,0.17,45,20,23,5.9,10.6
Styrian Golding,4.4,Austria and Slovenia,2.5,Resinous and earthy with hints of white pepper,"Fuggle, Willamette, Bobek",0.25,30,36,27.5,10,3.5
Summer,6,Australia,5.449999999999999,"Vegetable, Fennel, Tarragon, Aniseed, Melissa",Saaz,1.7,33.5,39,22.5,9.5,1
Tettnanger A,4.4,Germany,5,Pleasant continental-style aroma,"Tettnanger, Saaz, Hallertau",0.425,47.2,16.6,23,5.1,13.6
Zythos®,11.25,US,5.45,"Notes of tangerine, grapefruit, pine and pineapple","Simcoe®, Amarillo®",0.95,0.0,0.0,29.5,0.0,0.0
California Cluster,7,US,5,Generic hop bitterness and flavor,"Eroica, Galena",0.0,0.0,0.0,39,0.0,0.0
Coigneau,0.0,Belgium,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Perle,8.5,Germany,3.5,"Leek, Celeriac, Chilli, Marjoram","Perle (US), Northern Brewer (GR)",0.8999999999999999,20,29,28,10.2,0.2
Wakatu,7.5,New Zealand,8.5,"Floral, lime aromas",,0.5,36,17,29,8,6.7
Backa,5,Serbia,5.7,,,0.3,0.0,0.0,25,0.0,0.0
Olympic,12.2,US,4.949999999999999,Notes of spice and citrus,"Galena, Nugget, Chinook",1.7049999999999998,40.8,12.2,31,12,0.9
Bate’s Brewer,0.0,UK,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Dana,13.5,Slovenia,5,Subtle floral and citrus flavors,,3.15,54.5,18.3,29.5,6.65,7.8
Density,5.5,UK,3.3,,Defender,0.22,57,17,36,7,0.3
Santiam,6.5,US,6.9,"Soft, herbal, floral, fruity aromas with hints of pepper and spice","Tettnanger, Spalt, Spalter Select, Hallertau, Liberty",1.5,30.5,24.5,21,6.800000000000001,14.5
Tahoma,7.699999999999999,US,9,,,1.5,69.5,10,16,3.2,1
Vanguard,5.2,US,6.5,,"Liberty, Mount Hood, Hallertauer Mittelfrüh, Saaz",1.05,22.5,47.5,15,13,0.5
Vojvodina,8.3,Former Yugoslavia,3.5,Noble aroma characteristics,"Northern Brewer, Goldings",1,67,13,30,5,0.6
Melba,8.5,Australia,3.75,"Clean spicy bitterness, aromas of passionfruit, grapefruit and citrus.",Galaxy,3,0.0,0.0,30,0.0,0.0
Northdown,8.5,UK,4.75,"Fresh, flowery, piney, berry and spice","Challenger, Admiral",1.85,26,41,28,15,0.5
Ahil,11,Slovenia,4.5,,,2,61.1,7.6,25,4.3,10.4
Fuggle H,5.9,Unknown,3,Robust woody and fruity aroma,,1.15,47,24,26,8.1,4.1
Phoenix,11,UK,4.4,"Aromas of spice, pine, chocolate and molasses","Northdown, Challenger, East Kent Golding",2.1,28,28.5,28.5,9.5,1.2
Cluster (AUS),7,Australia,5,"Strongly resinous, herbal character","Northern Brewer, Galena",0.2,50,16.5,39,6.5,1
Palisade®,7.5,US,7,"Flavors of nectar fruits and citrus, aromas that are floral, herbaceous and grassy","Styrian Golding, Willamette, Glacier, Chinook",1.5,9.5,20.5,26.5,17,0.5
Kitamidori,10.5,Japan,5.5,,"Kirin II, Saaz, Toyomidori, Eastern Gold",0.675,34,31,22,9,6.5
Sovereign,5.5,UK,2.6,"Quince, Gingerbread, Green pepper, Cherry",,15.5,27.5,23.5,28,8,3.6
Elsaesser,4.65,France,5.78,European noble aroma,,0.705,38,32,25,11.649999999999999,1.7
Saaz,3.5,Czechia,5,"Noble, herbal character","Saaz (US), Sterling, Lubelska-Pulawy, Moteuka, Centennial, Amarillo®",0.6000000000000001,32.5,22.5,25.5,7.5,17
Toyomidori,12,Japan,5.5,,,0.53,59,10.5,40,4.5,0.0
Defender,4.65,UK,1.8,"Pleasant, European-style aroma",Density,0.25,31,35,27,14,3.7
Eastern Green,5.15,Japan,1.95,Pleasant continental-style aroma,,0.225,25,25,25.5,8,4.95
Aurora,9.5,Slovenia,3.85,"Bergamot, Lemon grass, Aniseed, Citrus, Flora","Styrian Golding, Northern Brewer",1.35,35,21,24,7,7.5
Horizon,12.65,US,7,"Floral, citrusy",Magnum,1.25,57.5,14,19,11,4
Pilgrim,11,UK,4.7,"Peppermint, Herbs, Lime, Marjoram","Target, Pioneer, Challenger",1.8,36,17,37,7,0.3
Tettnanger (US),4.5,US,3.75,,"Spalter Select, Santiam, Czech Saaz, Spalt",0.6000000000000001,24,20.5,22.5,6.5,6.5
Ultra,4,US,4.3,Midly spicy aroma and flavor,"Tettnanger (GR), Saaz, Hallertauer Tradition, Liberty",1,30,35,30,12.5,0.5
Nelson Sauvin,12.5,New Zealand,7,"Smooth bittering, rich, fruity, gooseberry and white-wine flavors","Pacific Jade, Pacifica",0.5,22,36.4,24,10.7,10.7
Ahtanum™,5.15,US,5.75,"Apple blossom, Jasmine, Geranium, Tea, Elderflower","Cascade, Amarillo®, Simcoe®, Centennial, Willamette",1,52.5,18,32.5,10.5,0.5
Aramis,8.100000000000001,France,4.15,"Mint, Lemon grass, Rose, Raspberry, Caramel","Willamette, Challenger, Ahtanum™, Strisselspalt, Centennial, Chinook, Hallertau, Tettnanger",1.4,0.0,21,42,7.4,3
Golden Star,5.4,Japan,4.6,,,0.315,57,13,50,5,0.0
Hersbrucker E,5,UK,6,,"Strisselspalt, Mount Hood",0.315,46,29,23,9,0.2
Buzz Bullets,9,US,0.0,Floral and citrus notes,,0.0,0.0,0.0,0.0,0.0,0.0
Calypso,13,US,5.5,"Crisp, fruity aroma. Flavour of Apples, pears, stone fruit and lime citrus.",,2.05,37.5,27.5,41,12,1
Green Bullet,13,New Zealand,4.95,Aromas of raisin and fruit,"Liberty, Hallertau, Crystal, Mount Hood, Ultra",0.7949999999999999,45.65,23.6,40.5,19.5,14.6
Helga,6.35,Australia,6,"Noble-style aroma, mildly floral and spicy",Hallertau,0.8,7,45,21.5,12.5,0.0
Warrior®,16.25,US,5.15,"Tea, Chocolate, Marjoram, Lemon grass","Nugget, Columbus",1.5,45,17.5,25,9.5,0.5
Cobb,5.550000000000001,UK,2.3499999999999996,,"East Kent Golding, Early Bird",0.9,0.0,0.0,29,0.0,0.0
Perle (US),8,US,4,Faint spicy aroma,"Perle (GR), Northern Brewer (GR)",0.95,50,30.5,29.5,11,0.5
Waimea,17.5,New Zealand,8,Citrus and pine,Columbus,1,60,10,0.0,3,5
Wai-iti,3,New Zealand,5,Lime citrus and stone fruit notes,Riwaka,0.8,30,28,23,9,13
Willamette,5,US,3.5,"Citrus, Elderberry, Incense, Caramel, Curry","Fuggle, Styrian Golding, Tettnanger (US), Glacier, Styrian Golding",1.25,42.5,25,32.5,7.5,5.5
Orion,8.5,Germany,5.335000000000001,,Perle,1.9,48.5,21.5,27,10,0.5
Kohatu®,6.8,New Zealand,5,Intense tropical fuit and pine needle aroma,,0.56,35.5,36.5,21,11.5,0.3
Sonnet,4.3,US,0.0,"Deep floral aroma, grass, earth, flavors of oak and honey","Saaz, East Kent Golding, Crystal, Strisselspalt, Hersbrucker",0.0,0.0,0.0,0.0,0.0,0.0
Triskel,8.5,France,4.35,"Artichoken, Pepper, Tobacco, Honeydew melon, Nettle","Strisselspalt, Ahtanum™, Centennial, Chinook, Simcoe®",1.75,0.0,13.5,21.5,6.1,1
Cascade (New Zealand),7,New Zealand,5.25,Similar to Cascade (US) but more subdued,"Cascade (US), Hallertau, Goldings, Ahtanum, Centennial",0.0,0.0,0.0,22.5,0.0,0.0
Hallertauer Taurus,15.1,Germany,5,"Chocolate, Pepper, Ripe banana","Magnum, Merkur, Herkules",1.2,30,30.5,24,8,0.5
Mandarina Bavaria,9.5,Germany,5.75,"Pineapple, Lemon, Strawberry, Gooseberry, Cassis","Columbus, Nugget, Cascade (US)",1.85,0.0,5,33,2,1
Progress,6.75,UK,2.65,"Cassis, Creamy, Coriander","East Kent Golding, Fuggle",0.85,28.75,41.5,29.5,12.3,1
Shinshuwase,6.5,Japan,5.05,Lemon aromas,"Saaz, Hallertau, Santiam",0.7,57.5,12,51,20.3,0.1
Strisselspalt,3.75,France,4.25,"Citrus, Lemon grass, Cassis, Grapefruit, Eukalyptus","Liberty, Hallertau, Mt Hood, Crystal, Hersbrucker",0.75,43.5,22,23.5,9.15,1
Fuggle (US),4.75,US,1.75,,"Fuggle, Willamette, Styrian Golding, Tettnanger",1.0499999999999998,26,37.5,29,12,4.5
Wuerttemberger,5,Germany,4,Pleasant European-style noble aroma,,0.625,59,18,28,6,4
Calicross,6.85,New Zealand,5.9,"Floral, fruity and earthy flavor and aroma",,0.9049999999999999,61,15.5,40,4,0.5
Pride of Ringwood,9,Australia,6,"Spicy, fruity aroma","East Kent Golding, Centennial, Galena, Cluster",0.6,39,5,36,7.5,1
Lubelska,4,Czechoslovakia,3.25,Noble-like character,"Saaz, Sterling",0.85,28.5,35,26.5,8.5,12
Sylva,6.449999999999999,Australia,3.8,"Flavors of the forest and fresh-cut timber, subtle and hoppy bohemian-style aroma","Hallertau Mittelfrüh, Helga, Saaz",1.2,31,22.5,22.5,6.5,25
Cascade (US),6.7,US,5.55,"Floral, with elements of citrus and notes of grapefruit","Centennial, Amarillo, Columbus, Ahtanum",1.15,52.5,12,36.5,5,6
Southern Promise,10.5,Slovenia,4.5,"Smooth bitterness, woody, earthy",Southern Brewer,0.7,22,26,21,9,0.5
Banner,10.7,US,6.65,"Moderate bittering potential, pleasant aroma","Aquila, Cluster, Galena",1.085,66.4,11.8,34,7.7,0.0
Hersbrucker Pure,5.35,Unknown,2.5,Pleasing noble aroma,"Hersbrucker, Hallertauer Mittelfrüh",0.8999999999999999,37,18.5,24,7.5,0.5
Mount Rainier,6.55,Unknown,6,"Hallertau-like aroma, notes of citrus and licorice","Hallertau, Fuggle",0.0,0.0,0.0,22.5,0.0,0.0
Golding (US),5,US,2.5,"Delicate English-style aromas, fruit, herbs","East Kent Golding, Fuggle, Willamette, Progress, Whitbread Golding",0.7,30,40,20,14.5,1
Motueka,7.5,New Zealand,5.25,Tropical fruit and citrus,"Saaz, Saaz (US), Sterling",0.4,47.7,3.6,29,2,12.2
Pacific Jade,13,New Zealand,7.5,Flavors of lemon citrus and cracked pepper,Magnum,0.7,33.3,32.9,24,10.2,0.3
Bouclier,7.1,UK / France,2.8499999999999996,"Aromas of herb, grass and spice alongside a citrus and floral character",,1.35,38,34,22.5,3.4,0.0
Willow Creek,0.0,Unknown,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Pacific Sunrise,13.5,New Zealand,6.25,,Pacific Gem,1.85,50,22,28.5,7.5,0.5
Summit™,17,US,3.8,Citrus aromas,"Columbus, Simcoe®, Apollo",2.25,40,20,29.5,13,0.5
Hersbrucker,3.5,Germany,5,"Floral, fruity and spicy aromas","Hallertauer Tradition, Spalter Select, Mount Hood, Strisselspalter, Hallertau, Liberty",0.9,17.5,25,22,11,0.5
Tardif de Bourgogne,4.3,France,4.3,"Mild, European-style aroma",Precoce de Bourgogne,0.61,44,13,20,5.7,0.2
Bravo,15.5,US,4,"Spicy, earthy, and lightly floral aroma","Columbus, Zeus, Apollo, Magnum, Nugget",2,37.5,19,31.5,11,0.5
Golding (BC),5.5,Canada,0.0,"Exhibits an earthy aroma profile with a flavor profile of smooth, rounded spice.","East Kent Golding, Golding (American), Fuggle, Willamette",0.0,0.0,0.0,0.0,0.0,0.0
Hallertau,3.5,Germany,4,Lightly flowery and spicy aroma,"Liberty, Hallertau (US), Hallertauer Tradition",0.8999999999999999,39.5,42.5,23,12.5,0.5
Blue Northern Brewer,7,Belgium,3.5,,Chinook,0.38,33.5,29,24,10,0.0
Canadian Redvine,5,Canada,5.5,"Mild cherry flavor, grapefruit peel aroma","Newport, Magnum, Galena",5.6,70,2,47,2,5.5
Columbia,8.8,Unknown,4,"Pungent hoppy kick, twist of lemon citrus",,0.6,55,17,40,7,4.1
Fuggle,4.25,UK,2.45,,"Fuggle (US), Willamette, Styrian Golding, Tettnanger, Newport",0.635,43.4,26.6,27,9.1,4.3
Omega,9.5,UK,3.5,Pleasant European aroma,,0.86,53,17,29,5,0.0
Tettnanger,4.4,Germany,4.05,Balanced floral and herbal aromas with some spiciness,"Saaz, Spalt, Santiam, Spalter Select, Tettnanger (US)",0.7150000000000001,40.6,20.4,24,6.2,11.3
Dr Rudi,11,New Zealand,7.75,"Grass, pine and citrus flavors",Green Bullet,1.4500000000000002,38.5,27.5,37.5,8,0.5
Falconer’s Flight®,10.75,US,4.5,"Distinct tropical, floral, lemon and grapefruit attributes","Cascade, Columbus, Centennial",3.0999999999999996,0.0,0.0,22.5,0.0,0.0
Pacific Gem,14.5,New Zealand,8,Notes of oak and blackberry,Fuggle,1.2999999999999998,44,24,38.5,9,0.5
Yakima Cluster,7.1000000000000005,US,4.55,,Chinook,0.5700000000000001,50,18,42,6.5,1
Saphir,3.25,Germany,5.5,"Lemon grass, Black tea, Strawberry, Juniper, Citrus","Hallertau, Hallertau Tradition, Spalter Select",1.1,32.5,25,14.5,11.5,1
Tettnanger (Swiss),5.199999999999999,Switzerland,4.65,Noble aroma,"Tettnanger, Fuggle, Saaz, Spalt, Ultra",0.7749999999999999,0.0,0.0,22,0.0,0.0
MultiHead,4.5,US,6.75,"Heady, floral aroma, some sweet fruit and citrus",,1,48,0.0,45,0.0,0.0
Sticklebract,13.6,New Zealand,8,Aromas of pine and citrus,Northern Brewer (GR),1.24,57.5,9.5,42.5,4.5,4.3
Eroica,12.3,Unknown,4.5,Sharp fruity essence,"Bullion, Brewer’s Gold, Galena",1.05,60,0.5,40,10,0.5
First Choice,5.75,New Zealand,5.1,,,0.88,71,1,39,1.3,0.0
Eureka,18.5,Unknown,5.5,"Falvors of citrus, peach and pine, aromas of stone fruit and mandarin",,1.5,43,29.8,27,0.2,0.0
Blisk,11.899999999999999,Slovenia,4.05,,,1,58,12,33,3.7,15.6
Amallia,7.25,US,6.25,Deep earthy aroma,,0.0,0.0,0.0,0.0,0.0,0.0
Kirin II,8,Japan,6.4,,,0.59,50,14,44,9.4,0.2
Topaz,15.7,Australia,7.15,"Light, tropical fruit flavors of lychee, clove-like spice and resinous grassy tones when dry hopped","Galaxy®, Citra®, Cascade, Riwaka, Rakau, Amarillo®",1.9500000000000002,45,10.5,49.5,10,1
Northern Brewer (GR),8.5,Germany,4.25,,"Perle, Northern Brewer (US)",1.8,35,42.5,30,15,1
Smooth Cone,8.25,New Zealand,4.3,,Cluster,0.76,55,21,31,6,0.5
Admiral,14.6,UK,5.449999999999999,"Tea, Ripe Kiwi, Lemony","Chinook, Northdown, Challenger, Centennial, Cascade (US), Amarillo, Target",1.35,43.5,24.5,41,6.5,2
Newport,15.25,US,8.15,"Clean bitterness, flavors of wine and balsamic","Galena, Nugget",2.6,50.5,5,37,4,0.5
Crystal,3.6,Unknown,6.4,"Passion fruit, Lime, Camomile blossom, Apricot, Lemon grass","Liberty, Mount Hood, German Hallertau, Ultra, Strisselspalter, Hersbrucker",33.55,40,26,23.5,7,0.0
Challenger,7.75,UK,3.85,,"Perle (US), Northern Brewer, Admiral",1.35,36,28.5,22.5,9,2
Cluster (US),7.25,US,5,"Clean, neutral, slightly floral","Eroica, Galena",0.6000000000000001,46.5,17.5,39,8,0.5
Herkules,14.5,Germany,4.75,"Melissa, Orange, Honeydew Melon, Lemon grass, Peppermint",,1.9,40,36.5,35,9.5,1
Pride of Kent,9.5,Unknown,7,,Galena,1.16,70,9,35,3,0.0
Sladek,6.25,Czechia,5.5,"Passion fruit, Strawberry, Cassis, Grapefruit, Peach",Saaz,1.5,42.5,30,26.5,11.5,1
Azacca ®,15,US,4.75,"Aromas of tropical fruits and citrus. Tasting notes of spicy mango, pineapple, tangerine and pine.",,2.05,50.5,16,41.5,10,1
Marynka,10.5,Poland,11.6,"Hay, Liquorice, Lemon, Grapefruit, Aniseed",Tettnanger,2,29.5,34.5,29.5,11.5,2
Mosaic ®,12.5,Unknown,3.55,,Citra®,1.25,50,14.5,25,6.5,0.0
Gargoyle,7.5,US,0.0,Citrusy-mango aroma,"California Cluster, Ivanhoe",0.0,0.0,0.0,0.0,0.0,0.0
Eastern Gold,12.5,Japan,5.5,,Brewer’s Gold,0.715,42,19,27,7.5,3
Early Bird,5.550000000000001,UK,2.3499999999999996,"Pleasing, delicate aroma","East Kent Golding, Cobb, Bramling Cross",0.4,0.0,0.0,29,0.0,0.0
Janus,5.1,UK,2.3,Pleasing European aroma,,0.29,40,34,32,10.9,0.0
Fuggle Tetraploid,5,Unknown,2.4,,,0.465,49,24,26,20.2,3.9
Universal,5.2,Czechia,3.7,Noble aromas and mild bitterness,Hallertau,0.0,0.0,0.0,23,0.0,0.0
Brewer’s Gold (US),10.6,US,5.25,,"Bullion, Cascade, Galena, Northern Brewer, Northdown",0.9,40,35,41,35,0.0
Bianca,7.5,US,3.4,,Sunbeam,0.8,30,25,24,8,13
Hallertauer Tradition,5.8,Germany,4.5,"Apricot, Peach, Cassis, Citrus, Orange",Retains 65%-70% alpha acid after 6 months storage at 20ºC (68ºF),1.4,22.5,47.5,26,12.5,0.5
Saaz (US),3.75,US,3.75,"Mild, earthy, spicy, herbal","Saaz, Hallertau, Tettnanger, Lubelska, Sterling",0.25,31,31.5,26,9,11
Vital,15.5,Czechia,9.5,"Plum, Lavender, Liquorice, Melissa",,31.25,40,0.0,0.0,0.0,0.0
Cashmere,8.4,US,5.199999999999999,,,1.2999999999999998,40.5,27.5,23,12.5,1
Feux-Coeur,14,Australia,4.55,,,0.0,0.0,0.0,0.0,0.0,0.0
Boadicea,8.5,UK,3.5,"Peppermint, Barrique, Tobacco, Lime, Liquorice",,1.7,30,20,26,17,5
Whitbread Golding,6.25,UK,3,"Pleasant, fruity, European style aroma","Fuggle, East Kent Golding",1.01,25.5,40,35,11,2.1
Orbit,5,New Zealand,5,,,0.75,33,33,25,14,2
Comet,10.9,US,4.55,"Mandarin, elderberry sirup, Geranium, Lemon grass, Resin","Galena, Summit™",34.15,40,1,41,10,0.1
